instance,solver,time_limit,runtime,obj
PCMAX_U_1_0050_05_0,LPT,5.0,0.00,516
PCMAX_U_1_0050_05_0,SPS,5.0,0.00,516
PCMAX_U_1_0050_05_0,CPLEX,5.0,0.21,515
PCMAX_U_1_0050_05_1,LPT,5.0,0.00,560
PCMAX_U_1_0050_05_1,SPS,5.0,0.00,560
PCMAX_U_1_0050_05_1,CPLEX,5.0,0.10,560
PCMAX_U_1_0050_05_2,LPT,5.0,0.00,453
PCMAX_U_1_0050_05_2,SPS,5.0,0.00,453
PCMAX_U_1_0050_05_2,CPLEX,5.0,0.27,452
PCMAX_U_1_0050_05_3,LPT,5.0,0.00,575
PCMAX_U_1_0050_05_3,SPS,5.0,0.00,575
PCMAX_U_1_0050_05_3,CPLEX,5.0,0.43,572
PCMAX_U_1_0050_05_4,LPT,5.0,0.00,541
PCMAX_U_1_0050_05_4,SPS,5.0,0.00,541
PCMAX_U_1_0050_05_4,CPLEX,5.0,0.24,540
PCMAX_U_1_0050_05_5,LPT,5.0,0.00,501
PCMAX_U_1_0050_05_5,SPS,5.0,0.00,501
PCMAX_U_1_0050_05_5,CPLEX,5.0,0.49,497
PCMAX_U_1_0050_05_6,LPT,5.0,0.00,550
PCMAX_U_1_0050_05_6,SPS,5.0,0.00,550
PCMAX_U_1_0050_05_6,CPLEX,5.0,0.27,541
PCMAX_U_1_0050_05_7,LPT,5.0,0.00,538
PCMAX_U_1_0050_05_7,SPS,5.0,0.00,538
PCMAX_U_1_0050_05_7,CPLEX,5.0,0.17,536
PCMAX_U_1_0050_05_8,LPT,5.0,0.00,472
PCMAX_U_1_0050_05_8,SPS,5.0,0.00,472
PCMAX_U_1_0050_05_8,CPLEX,5.0,0.36,471
PCMAX_U_1_0050_05_9,LPT,5.0,0.00,500
PCMAX_U_1_0050_05_9,SPS,5.0,0.00,500
PCMAX_U_1_0050_05_9,CPLEX,5.0,0.08,498
