instance,solver,time_limit,runtime,obj
PCMAX_U_3_0100_10_0,LPT,5.0,0.00,46927
PCMAX_U_3_0100_10_0,SPS,5.0,0.01,46927
PCMAX_U_3_0100_10_0,CPLEX,5.0,5.04,46680
PCMAX_U_3_0100_10_1,LPT,5.0,0.00,46366
PCMAX_U_3_0100_10_1,SPS,5.0,0.00,46366
PCMAX_U_3_0100_10_1,CPLEX,5.0,5.01,46192
PCMAX_U_3_0100_10_2,LPT,5.0,0.00,52698
PCMAX_U_3_0100_10_2,SPS,5.0,0.00,52685
PCMAX_U_3_0100_10_2,CPLEX,5.0,5.01,52311
PCMAX_U_3_0100_10_3,LPT,5.0,0.00,51530
PCMAX_U_3_0100_10_3,SPS,5.0,0.00,51530
PCMAX_U_3_0100_10_3,CPLEX,5.0,5.01,51423
PCMAX_U_3_0100_10_4,LPT,5.0,0.00,52797
PCMAX_U_3_0100_10_4,SPS,5.0,0.00,52797
PCMAX_U_3_0100_10_4,CPLEX,5.0,5.01,52586
PCMAX_U_3_0100_10_5,LPT,5.0,0.00,56850
PCMAX_U_3_0100_10_5,SPS,5.0,0.00,56850
PCMAX_U_3_0100_10_5,CPLEX,5.0,5.01,56639
PCMAX_U_3_0100_10_6,LPT,5.0,0.00,45775
PCMAX_U_3_0100_10_6,SPS,5.0,0.00,45775
PCMAX_U_3_0100_10_6,CPLEX,5.0,5.01,45543
PCMAX_U_3_0100_10_7,LPT,5.0,0.00,52704
PCMAX_U_3_0100_10_7,SPS,5.0,0.00,52621
PCMAX_U_3_0100_10_7,CPLEX,5.0,5.01,52456
PCMAX_U_3_0100_10_8,LPT,5.0,0.00,48614
PCMAX_U_3_0100_10_8,SPS,5.0,0.00,48614
PCMAX_U_3_0100_10_8,CPLEX,5.0,5.01,48481
PCMAX_U_3_0100_10_9,LPT,5.0,0.00,53370
PCMAX_U_3_0100_10_9,SPS,5.0,0.00,53370
PCMAX_U_3_0100_10_9,CPLEX,5.0,5.02,53169
