instance,solver,time_limit,runtime,obj
PCMAX_NU_3_0100_05_0,LPT,5.0,0.00,190370
PCMAX_NU_3_0100_05_0,SPS,5.0,0.01,190318
PCMAX_NU_3_0100_05_0,CPLEX,5.0,5.01,187166
PCMAX_NU_3_0100_05_1,LPT,5.0,0.00,189428
PCMAX_NU_3_0100_05_1,SPS,5.0,0.00,189422
PCMAX_NU_3_0100_05_1,CPLEX,5.0,5.01,186182
PCMAX_NU_3_0100_05_2,LPT,5.0,0.00,189545
PCMAX_NU_3_0100_05_2,SPS,5.0,0.00,189508
PCMAX_NU_3_0100_05_2,CPLEX,5.0,5.01,186409
PCMAX_NU_3_0100_05_3,LPT,5.0,0.00,189799
PCMAX_NU_3_0100_05_3,SPS,5.0,0.00,189745
PCMAX_NU_3_0100_05_3,CPLEX,5.0,5.01,186547
PCMAX_NU_3_0100_05_4,LPT,5.0,0.00,190342
PCMAX_NU_3_0100_05_4,SPS,5.0,0.00,190342
PCMAX_NU_3_0100_05_4,CPLEX,5.0,5.01,187275
PCMAX_NU_3_0100_05_5,LPT,5.0,0.00,190450
PCMAX_NU_3_0100_05_5,SPS,5.0,0.00,190412
PCMAX_NU_3_0100_05_5,CPLEX,5.0,5.01,187050
PCMAX_NU_3_0100_05_6,LPT,5.0,0.00,189180
PCMAX_NU_3_0100_05_6,SPS,5.0,0.00,189180
PCMAX_NU_3_0100_05_6,CPLEX,5.0,5.01,186263
PCMAX_NU_3_0100_05_7,LPT,5.0,0.00,189842
PCMAX_NU_3_0100_05_7,SPS,5.0,0.00,189839
PCMAX_NU_3_0100_05_7,CPLEX,5.0,5.01,186918
PCMAX_NU_3_0100_05_8,LPT,5.0,0.00,190128
PCMAX_NU_3_0100_05_8,SPS,5.0,0.00,190096
PCMAX_NU_3_0100_05_8,CPLEX,5.0,5.00,186673
PCMAX_NU_3_0100_05_9,LPT,5.0,0.00,189714
PCMAX_NU_3_0100_05_9,SPS,5.0,0.00,189711
PCMAX_NU_3_0100_05_9,CPLEX,5.0,5.01,186565
