instance,solver,time_limit,runtime,obj
PCMAX_U_3_1000_25_0,LPT,5.0,0.01,202591
PCMAX_U_3_1000_25_0,SPS,5.0,0.13,202591
PCMAX_U_3_1000_25_0,CPLEX,5.0,5.41,202991
PCMAX_U_3_1000_25_1,LPT,5.0,0.00,198938
PCMAX_U_3_1000_25_1,SPS,5.0,0.08,198902
PCMAX_U_3_1000_25_1,CPLEX,5.0,5.16,199183
PCMAX_U_3_1000_25_2,LPT,5.0,0.00,205844
PCMAX_U_3_1000_25_2,SPS,5.0,0.07,205844
PCMAX_U_3_1000_25_2,CPLEX,5.0,5.12,206441
PCMAX_U_3_1000_25_3,LPT,5.0,0.00,202509
PCMAX_U_3_1000_25_3,SPS,5.0,0.08,202509
PCMAX_U_3_1000_25_3,CPLEX,5.0,5.02,202920
PCMAX_U_3_1000_25_4,LPT,5.0,0.00,197627
PCMAX_U_3_1000_25_4,SPS,5.0,0.08,197627
PCMAX_U_3_1000_25_4,CPLEX,5.0,5.03,198114
PCMAX_U_3_1000_25_5,LPT,5.0,0.00,203833
PCMAX_U_3_1000_25_5,SPS,5.0,0.07,203833
PCMAX_U_3_1000_25_5,CPLEX,5.0,5.03,204171
PCMAX_U_3_1000_25_6,LPT,5.0,0.00,195535
PCMAX_U_3_1000_25_6,SPS,5.0,0.07,195535
PCMAX_U_3_1000_25_6,CPLEX,5.0,5.33,195789
PCMAX_U_3_1000_25_7,LPT,5.0,0.00,201153
PCMAX_U_3_1000_25_7,SPS,5.0,0.07,201153
PCMAX_U_3_1000_25_7,CPLEX,5.0,5.39,201549
PCMAX_U_3_1000_25_8,LPT,5.0,0.00,202513
PCMAX_U_3_1000_25_8,SPS,5.0,0.07,202513
PCMAX_U_3_1000_25_8,CPLEX,5.0,5.02,202905
PCMAX_U_3_1000_25_9,LPT,5.0,0.00,200556
PCMAX_U_3_1000_25_9,SPS,5.0,0.07,200556
PCMAX_U_3_1000_25_9,CPLEX,5.0,5.05,200991
