instance,solver,time_limit,runtime,obj
PCMAX_U_1_1000_10_0,LPT,5.0,0.01,4837
PCMAX_U_1_1000_10_0,SPS,5.0,0.18,4837
PCMAX_U_1_1000_10_0,CPLEX,5.0,0.70,4837
PCMAX_U_1_1000_10_1,LPT,5.0,0.00,5021
PCMAX_U_1_1000_10_1,SPS,5.0,0.09,5021
PCMAX_U_1_1000_10_1,CPLEX,5.0,0.76,5021
PCMAX_U_1_1000_10_2,LPT,5.0,0.00,5110
PCMAX_U_1_1000_10_2,SPS,5.0,0.09,5110
PCMAX_U_1_1000_10_2,CPLEX,5.0,0.84,5110
PCMAX_U_1_1000_10_3,LPT,5.0,0.00,4926
PCMAX_U_1_1000_10_3,SPS,5.0,0.06,4926
PCMAX_U_1_1000_10_3,CPLEX,5.0,2.08,4926
PCMAX_U_1_1000_10_4,LPT,5.0,0.00,5119
PCMAX_U_1_1000_10_4,SPS,5.0,0.06,5119
PCMAX_U_1_1000_10_4,CPLEX,5.0,5.02,5120
PCMAX_U_1_1000_10_5,LPT,5.0,0.00,4885
PCMAX_U_1_1000_10_5,SPS,5.0,0.07,4885
PCMAX_U_1_1000_10_5,CPLEX,5.0,4.81,4885
PCMAX_U_1_1000_10_6,LPT,5.0,0.00,4954
PCMAX_U_1_1000_10_6,SPS,5.0,0.06,4954
PCMAX_U_1_1000_10_6,CPLEX,5.0,5.01,4955
PCMAX_U_1_1000_10_7,LPT,5.0,0.00,5153
PCMAX_U_1_1000_10_7,SPS,5.0,0.07,5153
PCMAX_U_1_1000_10_7,CPLEX,5.0,1.48,5153
PCMAX_U_1_1000_10_8,LPT,5.0,0.00,4855
PCMAX_U_1_1000_10_8,SPS,5.0,0.07,4855
PCMAX_U_1_1000_10_8,CPLEX,5.0,0.52,4855
PCMAX_U_1_1000_10_9,LPT,5.0,0.00,4886
PCMAX_U_1_1000_10_9,SPS,5.0,0.07,4886
PCMAX_U_1_1000_10_9,CPLEX,5.0,5.01,4887
