instance,solver,time_limit,runtime,obj
PCMAX_NU_2_0500_05_0,LPT,5.0,0.01,94113
PCMAX_NU_2_0500_05_0,SPS,5.0,0.05,94113
PCMAX_NU_2_0500_05_0,CPLEX,5.0,5.01,94046
PCMAX_NU_2_0500_05_1,LPT,5.0,0.00,94190
PCMAX_NU_2_0500_05_1,SPS,5.0,0.03,94190
PCMAX_NU_2_0500_05_1,CPLEX,5.0,5.01,94180
PCMAX_NU_2_0500_05_2,LPT,5.0,0.00,94004
PCMAX_NU_2_0500_05_2,SPS,5.0,0.02,94004
PCMAX_NU_2_0500_05_2,CPLEX,5.0,5.01,93987
PCMAX_NU_2_0500_05_3,LPT,5.0,0.00,94086
PCMAX_NU_2_0500_05_3,SPS,5.0,0.02,94086
PCMAX_NU_2_0500_05_3,CPLEX,5.0,4.07,94004
PCMAX_NU_2_0500_05_4,LPT,5.0,0.00,93870
PCMAX_NU_2_0500_05_4,SPS,5.0,0.02,93870
PCMAX_NU_2_0500_05_4,CPLEX,5.0,2.61,93821
PCMAX_NU_2_0500_05_5,LPT,5.0,0.00,94103
PCMAX_NU_2_0500_05_5,SPS,5.0,0.02,94103
PCMAX_NU_2_0500_05_5,CPLEX,5.0,2.90,94065
PCMAX_NU_2_0500_05_6,LPT,5.0,0.00,93911
PCMAX_NU_2_0500_05_6,SPS,5.0,0.02,93911
PCMAX_NU_2_0500_05_6,CPLEX,5.0,1.99,93823
PCMAX_NU_2_0500_05_7,LPT,5.0,0.00,93992
PCMAX_NU_2_0500_05_7,SPS,5.0,0.02,93992
PCMAX_NU_2_0500_05_7,CPLEX,5.0,2.74,93938
PCMAX_NU_2_0500_05_8,LPT,5.0,0.00,93845
PCMAX_NU_2_0500_05_8,SPS,5.0,0.02,93845
PCMAX_NU_2_0500_05_8,CPLEX,5.0,1.80,93762
PCMAX_NU_2_0500_05_9,LPT,5.0,0.00,93990
PCMAX_NU_2_0500_05_9,SPS,5.0,0.02,93990
PCMAX_NU_2_0500_05_9,CPLEX,5.0,5.01,93887
